label	comment
0	一如既往地好吃，希望可以开到其他城市
0	味道很不错，分量足，客人很多，满意
0	下雨天来的，没有想象中那么火爆。环境非常干净，古色古香的，我自己也是个做服务行业的，我都觉得他们的服务非常好，场地脏了马上就有阿姨打扫。
0	真心不好吃 基本上没得好多味道
0	少送一个牛肉汉堡 而且也不好吃 特别是鸡肉卷 **都不想评论了 谁买谁知道
0	用美团，图打折。
0	好难吃水煮鸡杂呀
0	环境很好，服务很热情，味道非常好，鱼也很新鲜，我和儿子吃的好饱，包子和饺子很好吃哟，
0	一如既往的好吃，个人更喜欢吃全翅
0	四个就把我吃饱了……阔以
0	蛋糕很好吃，送货及时，服务一流啊，下次有机会继续买。
0	肉不好吃#脆香鸡排煲仔饭+半卤蛋##秘制小炒肉煲仔饭+半卤蛋#太辣#功夫烤鸡腿肉煲仔饭+半卤蛋#越吃越没味
1	恶心，不想说了，喝嘴里嚼两下觉得口感不对，吐出来就是只小蟑螂，关键是我还嚼了两口，昨天喝了，恶心到现在，饮食行业麻烦还是注意哈卫生好吗！！！！！
0	巨难吃，一个咸一个酸
0	价格实惠，服务态度很好，分量超足，鸭爪入口即化，软糯，很入味，超辣，推荐！
0	喜欢这个地方，菜品多，味道也不错，最好点个鸳鸯锅，锅底也是20元
0	真的很不错，吃了俩次了，朋友从外地来，特意带她们来吃的，他们回去吃东西都觉得没味，还是咱们重庆火锅好吃，特别喜欢这个地方，特别是重庆老火锅，价格也很实惠，服务态度不错，就是里面太热了，辣的慌，嘻嘻@，
0	很好吃，强力推荐，香菜牛肉果然是招牌菜名不虚传
0	味道不错，份量不足
1	真的无语，上两次还觉得可以，今天这个菠萝包里头奶油都臭了，完全不能吃
0	第二次来吃了，味道还可以，就在金港国际里面，逛累的可以来吃
1	饭里面居然还有虫，好恶心，不想吃了！差评！
1	给一个星星❤️完全是给外卖小哥的，为了给我女朋友送外卖都摔了，心疼。但是这个芒果不能忍，女朋友吃了就拉肚子，分量如图，4年多美团老顾客，第一次外卖给差评
1	吃比萨还有虫子，这是什么商家？
0	上菜速度快 服务到位 值得推荐
0	经济实惠  味道也不错 下次就选定你们家了  只是有一点同价位也不能换菜 如果能改一下就好了！
0	就在我家对面，非常好，吃的很满意，服务员对我挺好的，还会再去的
1	不知怎么的，泡椒血旺是臭的！
0	环境优雅安静舒适，菜品味道不错
1	刚才掉地上了，说的重新送，是回收的吧，还有一块石头，太垃圾了，等了这么久，摔了我又没有怪你们，还来回收了送来，真的够了
0	菜品很新鲜  环境也不错 就是锅底太贵了
0	味道赞，包装很漂亮，送货也很快，娃娃胸前的三朵粉色花里都有纸片状的固体，不知道是什么，能不能食用
0	味道好，服务态度好。分量足。值得再次来品尝。
0	不错，实惠又好
0	不错，经常来的，吃了N次了，爽歪歪
0	多年老店，味道好，服务好。推荐。
0	除了位置有点难找，其他都挺好，是看着现做的，喝的是奶味重的，挺不错
0	据说不错，帮别人团购的。团购很划算
0	跟同学来过好几次了，好评好评感
1	饭是馊的，怎么看都不想香辣鸡
0	还可以，糊辣壳很有特色，味道也很好，唯一美中不足的是面条，我比较喜欢吃面，南川的面店基本上都试吃过了，总结起来大多数店里的面都是南川本地供货的，南川本地制作的面吃起来碱性很重，口感欠佳，所以我一般只固定吃那么两三家的面。博赛那边也有一家黑娃面，它的面条就很好吃，起初还以为是同一家的诶。当然，我不是说东风路这家黑娃面不好，很好，很有特色，味道也很正宗，若是没我这么挑剔的人，是相当不错的选择。店家若是想要精益求精呢，个人建议可以考虑换家供货商，不知道卖家和对面的重庆小面熟不，她家的面条就挺好，听说是从万盛拿的
0	菜和饭一个餐盒  量少没汤
0	味道很好，分量较足，已经光顾很多次了。
0	突然想和老公想出去打个牙祭，真心没让我失望啊～味道很不错，价格也划算～吃完后真的是扶墙的节奏～老公的评价是：这是我吃过的同类型价位的二人餐里面，性价比最高，评分最高的一家～还会再来哦～梅子酒很加分～一口肉，一口酒～太开心了
1	花甲已经臭掉了、汤汁还有一股馊味
0	味道不错。环境也好，推荐大家去。还有川剧变脸
0	你一如既往的好吃，现烤披萨我喜欢。
0	位置太好找了，味道也很好，就是生意太好等了一会
0	好吃！已经是他们家的常客啦！味道棒棒的！
0	价廉物美，什么都很好
0	味道太差，份量不足，只有5寸，没有比萨奶酪的丝，和大饼一样，还没有自己做的好吃。
0	味道非常棒，强烈推荐，一百还去
0	很满意味道不错已经买过很多次了
0	味道不错 值得一去 很赞 很好吃
0	巴萨奴纳家的牛排已经不是第一次吃了，牛排很不错，菜品种类多，甜品水果也多，每一天都推出不同的主题，感觉良好，希望以后有更多的惊喜
0	环境好，食物好，店员耐心又和气
1	太垃圾了  东西还有臭的
1	饭里有钢丝。第二次了。第一次没说
1	老 子 吃到一个钢丝球 没注意 吞下去了 还有一个铁丝 从嘴里抠了出来 弄得我喉咙都发炎了 ！吞口水都痛！我叫的外卖 完全不知道怎么去跟商家说！！！
0	味道好，环境干净，性价比高，以后常来
0	手枪鸡腿棒棒哒！超级好吃
0	不错，第二次来了
0	味道好，绿豆糕超好吃～～～～～～～～～～～～
0	蛋糕很漂亮，味道也很好。就是叉叉太小了，不好用。
0	菜品很多然后环境也特别好，都团购了几次了，然后每次去的话，都感觉吃得饱饱的
0	环境很好哟~  陪同学来的…味道也不错…  可惜是单反拍的…就不上图了
0	买了两张省了20块，蛋糕挺好吃的。
0	#椒麻兔# #鱼香黄鱼# #爱上蒸蛋# #青椒鱼# 都好吃，周一到周四不用排队很快 ！！！
1	一打开就看到虫子 恶心得一天都吃不下饭...
0	第一次来吃味道挺好我们都很喜欢，以后还要来买
0	菜品新鲜，分量足，老板态度很好，已经来过很多次了
0	在附近找了一家离我们比较近的来吃的，我们吃的双人套餐，价格很实惠，味道也不错，下次还会来的。
1	没有筷子，而且感觉一点都不新鲜，昨天晚上吃了，现在竟然拉肚子
1	吃到一半发现中间有根钢丝球，还拍了照片
0	很不错啦，服务态度也很好，每次去生意都很好，上菜速度还是那么快嘿嘿，经常去呢
0	店面不大，但老板服务什么的一直都特别好，很喜欢去。
1	凉皮有味道了，吃完一天肚子都不舒服，拉肚子，不是第一次在这家吃了，希望有所改进
0	帅哥经理又帅，服务又好，以后会经常光顾他们家，为了帅哥经理去的哦
0	根本没收到外卖～电话也不接……
1	臭臭的，很难吃。各位小主不要点。
0	味道很不错，菜品新鲜！服务周到，店内环境不错，！
0	美团4人，实惠味道不错，重庆人的地道口味
0	菜品口味可以，服务好，环境可以
0	我和朋友都超级满意！首先菜品特别多特别丰富，也很新鲜！饮料也相当多，随便喝！关键味道也很好！环境也很好啊！价格也便宜啊！总之很满意很满意～准备下次带家人来吃！朋友聚会或者家庭聚会都是极好的！
0	少了一份饭不说 补送还那么慢 你们就不能优先处理一下？要不是外卖不可以退鬼还吃这个
1	吃到一半突然有只虫！
1	这家店原来这么不卫生，吃到3盒饭都是小强腿，苍蝇，可惜忘了拍，最郁闷的是整只小强，吃得我们吐，你这卫生也太吓人了，以后谁还敢你家吃，本来这种情况你们就应该主动退款，但是居然给我们退了12元打发我们，7个同事可以作证绝对没说假话，我们一共点了7份，有3盒就是虫，简直无语了，最开始吃了两盒打电话都没叫退钱，就是觉得不是很夸张的恶心，但是同事之间没吃，然后吃的杂酱米线之间恶心了，小强整只，我只拍了两款，大家请欣赏，不管是不是倒霉吃到，但是送出的餐居然3盒有，说明你们太不卫生了#蹄花汤套饭##烫火腿套餐##杂酱米
0	送了一个小时，饿死了
0	还不错，带孩子吃的，下次还会来的，服务都很好，也对的起这个价格，
0	味道一如既往滴巴适，3大人3小孩，吃得肚子圆圆的！
0	14块钱的特色猪脚饭和那个23的陪什么开胃菜的猪脚饭分量和菜都是一模一样的，感觉被骗了
0	去过几次了，老板人很好，味道也不错！
1	难吃，而且一点不新鲜，吃完后拉肚子
0	好吃，可以免费加米线。味道好，环境也好
0	口味挺好的，喜欢
0	服务生都好热情也好漂亮 位置很好找 装修超级棒 比起其他的火锅店 环境干净很多 尤其是那20万的马桶 好酷 不过这不是重点 重点是菜很好吃！虾丸超级Q还有我最爱的玉米烙
0	真心推荐！他们家的饮品味道都很好！！
0	环境很好，服务不错，速度很快。
1	shen#秘制卤花甲##烤带子##烤扇贝王#花甲里面暴多的沙子，2人各吃一个就没吃下去的心情了，扇贝是一个划成2个，也是第一次开眼见了
1	筷子是坏的，有份饭里有头发
0	还可以咯，
0	主要是口味还比较喜欢，上菜速度也快
0	非常好，很喜欢，老板娘人很好
0	2个人还吃不完，不错，很好吃哦
1	根本没盐味，牛肉排骨都不新鲜，有异味，以前在这家点过好几次干锅都不像这样，不知道到是不是我用了优惠券，商家就以次充好。以后不会再光顾了
0	环境好，菜品也不错，服务很好
0	还不错，吃了几次了。上菜速度超快！
0	服务很棒，烤肉酱很好吃，老板烤得也很好，拌饭也很好吃，绝对好评 #辣白菜饼# #牛肉拌饭# #肥牛五花肉#
0	味道很不错，跟那些所谓的自助餐简直不是一个档次，环境也很不错，值得去。
0	还有送货服务。
0	麻辣牛肉真好吃！鹅肠也不错！火锅的味道很好！人是真的多啊！！！
0	点你这外卖，我还不如出校门吃了，***
0	挺好的，味道很好，两个人吃不完 #冬瓜# #红汤锅底# #莴笋头#
0	好吃  已经是老顾客啦  可以值得去吃
0	挺好的 环境挺好的 味道也很赞 就是不团购不划算 图三288就那么三坨肉 那个感觉性价比太低了 早知道就不要那个了 哈哈哈哈哈哈哈 希望以后可以推出更多的团购套餐 还会再去的 还有就是 份量可以稍微多一点点 哈哈哈
0	味道可以。老板娘服务也很周到。很喜欢吃他家的乌鱼
0	牛肉很好吃，很有味道，特地带朋友过来吃的，老板服务很热情
0	送货没问题，但我就想问问，我套餐里面的中可呢？上次就没给，我没说，这次又这样？
0	味道不错，菜品也挺多的，价格还便宜。。
0	喜欢吃这家的面块儿，味道很好。
0	不大好吃难吃
1	食材不好，吃了第二天拉肚子
0	味道很不错！份量足！之前还担心不够！四个人够了！
0	不是很好吃，中锅的份量好少，配菜倒是挺多，第一次点，太失望
0	好吃，服务周道，很有意思很特别，很棒就在步行街中间，那个鱿鱼西施对面，好吃，味道棒棒哒，进店里就觉得香香的，比一般的火锅底料好吃，而且看着干净，味道一级棒，装修一级棒，反正感觉非常好，店里面生意火爆，好多人，服务员们态度也好好，没有因为团购而怠慢，板凳也非常有特色，非常不错有特色的一家，给你100分不怕你骄傲
0	超级差评，足足等了一个半小时，分量还很少，一串只有半串，两串只有一串，偷奸耍滑，最气人的是商家自作主张换掉菜品，也没跟我说一声，反正，没有一点让人满意的，lowlowlow
0	量很足，两个人吃饱了噢。味道也很不错，吃了很多次了
0	好吃 干净 卫生 味道好 菜和饮料都很全
0	第一次来这家，在门外看人挺多的，想着试一下，吃了很多家烤鸭，感觉他家烤鸭皮脆不腻，葱和黄瓜新鲜，自助调料选择比较多，个人比较喜欢他家的菌菇酱和青椒，鲜香突出，服务员给我们推荐了他们的新菜，糍粑红糖不多，没有太甜的感觉！口感还是挺不错的。                                                                           服务员，挺热情周到的，笑起来很甜，还送了一个小果盘。愉快的晚餐，下次还来！！希望这家店越来越好！
0	好吃不腻，还有点上瘾，吃了几次了
0	挺好的，已经来了很多次了
0	味道不错，鸡蛋仔真心好吃。奶茶也好喝
1	差评，猪蹄是坏的，都臭了，真恶心，再也不在这家点餐了！
1	我点的两份都是面，到手的两份都是米线。清汤香菇炖鸡米线还有一股异味。
0	菜品新鲜，麻辣味道鲜美，服务热情，环境很好。
0	和在外面买得不一样  肯定不是现做的  还特别贵
0	很好很实惠
0	咖啡很好喝！蛋糕也好吃！很不错哦！
0	饭是真的少，特地买的2块的大份然后就这一点点？随便哪家一块分量的饭都比你大，辣鸡！！！
0	菜不错 便宜又好吃 人很多 但是没花太久等位 很不错 很开心
0	很好吃，经常来，强力推荐，不错不错
0	菜品可口   味道好   价格优惠  上菜快 服务周到
0	我点的肥牛 结果吃起一股羊骚味  绝对是放错了 其他菜品一般
0	不好吃，吃过最难吃的！郁闷了
0	团购的还是特别划算，味道不错，鸡蛋仔比其他店铺甜点，比较喜欢
0	味道还行。
1	确实不能不差评！龙利鱼有味道！滑肉没有熟有臭味！？真的无语！而且分量少！又咸！！ 第一次差评！确实以后不会来了！
0	环境很好  特别温馨  地方也好找  老板是个年轻的姐姐 去的时候看到了做的过程 放了好多蔓越莓  料足 味道超级棒  以后还会有很多diy推出  支持～
0	味道好，服务好，下次还会来
0	酸菜鱼简直不摆了！下次我只要酸菜鱼！巴适特色特色特色！可惜忘了照……
0	原来19块，现在26，涨价了啊
0	味道不错，服务很好的说，性价比高，套餐分量巨足 #半只烤鸭#
0	很不错，比较有亮点
0	第一次吃饭这么清淡的冒菜，我点了多放醋，结果感觉就是在吃酸汤，别的味道基本没有
